name,foot,team2023-12-02,image,positionMisterFantasy,shortNamePosition,groupPosition,age,shirtNumber,marketValueReal,marketValueMisterFantasy_2023-12-02,nationality,fluctuationValue_2023-12-02,average_2023-12-02,scorePlayer_2023-12-02,points_antepenultimate_match_2023-12-02,game_played_2023-12-02,minutes_played_2023-12-02,goals_2023-12-02,assists_2023-12-02,assists_without_goal_2023-12-02,balls_into_area_2023-12-02,clearances_2023-12-02,dribbles_2023-12-02,kicks_to_goal_2023-12-02,recovered_balls_2023-12-02,possession_loss_2023-12-02,penaltis_failed_2023-12-02,goals_against_2023-12-02,red_cards_2023-12-02,ball_stop_2023-12-02,penalties_made_2023-12-02,yellow_cards_2023-12-02,second_yellow_card_match_2023-12-02,penalties_caused_2023-12-02,penalties_stopped_2023-12-02,own_goals_2023-12-02,team2024-05-28,marketValueMisterFantasy_2024-05-28,fluctuationValue_2024-05-28,average_2024-05-28,scorePlayer_2024-05-28,points_antepenultimate_match_2024-05-28,game_played_2024-05-28,minutes_played_2024-05-28,goals_2024-05-28,assists_2024-05-28,assists_without_goal_2024-05-28,balls_into_area_2024-05-28,clearances_2024-05-28,dribbles_2024-05-28,kicks_to_goal_2024-05-28,recovered_balls_2024-05-28,possession_loss_2024-05-28,penaltis_failed_2024-05-28,goals_against_2024-05-28,red_cards_2024-05-28,ball_stop_2024-05-28,penalties_made_2024-05-28,yellow_cards_2024-05-28,second_yellow_card_match_2024-05-28,penalties_caused_2024-05-28,penalties_stopped_2024-05-28,own_goals_2024-05-28
B. Mayoral,derecho,Getafe CF,https://img.a.transfermarkt.technology/portrait/medium/298976-1669365430.jpg?lm=1,-1.0,DEL,Delantero,26.0,19.0,9000000.0,13.753.000,España,UP,"6,5",98.0,9,15.0,1165.0,8.0,1.0,1.0,6.0,10.0,14.0,16.0,33.0,139.0,0.0,14.0,0.0,0.0,0.0,2.0,-,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y. Herrera,derecho,Girona FC,https://img.a.transfermarkt.technology/portrait/medium/378293-1694774163.jpg?lm=1,-1.0,MC,Centrocampista,25.0,21.0,10000000.0,13.659.000,Venezuela,UP,"5,7",86.0,8,14.0,1086.0,4.0,0.0,2.0,6.0,26.0,13.0,8.0,80.0,128.0,0.0,14.0,0.0,0.0,0.0,4.0,-,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Dovbyk,izquierdo,Girona FC,https://img.a.transfermarkt.technology/portrait/medium/343537-1641378780.png?lm=1,-1.0,DEL,Delantero,26.0,9.0,15000000.0,13.270.000,Ucrania,UP,"6,4",90.0,9,12.0,704.0,6.0,4.0,4.0,0.0,5.0,4.0,15.0,5.0,61.0,0.0,10.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavi,derecho,FC Barcelona,https://img.a.transfermarkt.technology/portrait/medium/646740-1682685701.jpg?lm=1,-1.0,MC,Centrocampista,19.0,6.0,90000000.0,13.010.000,España,DOWN,"6,0",72.0,6,12.0,943.0,1.0,1.0,2.0,2.0,16.0,12.0,6.0,52.0,93.0,0.0,11.0,0.0,0.0,0.0,5.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Valles,derecho,UD Las Palmas,https://img.a.transfermarkt.technology/portrait/medium/417913-1679083275.JPG?lm=1,-1.0,POR,Portero,26.0,13.0,4000000.0,12.967.000,España,UP,"6,5",97.0,9,15.0,1350.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,139.0,148.0,0.0,13.0,0.0,53.0,0.0,0.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Kounde,derecho,FC Barcelona,https://img.a.transfermarkt.technology/portrait/medium/411975-1662585791.jpg?lm=1,-1.0,CEN,Defensa,25.0,23.0,60000000.0,12.548.000,Francia,DOWN,"4,5",49.0,2,13.0,846.0,1.0,1.0,1.0,5.0,37.0,6.0,4.0,56.0,73.0,0.0,9.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Perez,derecho,Real Betis,https://img.a.transfermarkt.technology/portrait/medium/246968-1698328490.jpg?lm=1,-1.0,EI,Delantero,30.0,10.0,6000000.0,12.483.000,España,UP,"6,0",78.0,10,14.0,1053.0,4.0,1.0,3.0,0.0,6.0,24.0,12.0,77.0,137.0,0.0,13.0,0.0,0.0,0.0,1.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Guerra,derecho,Valencia CF,https://img.a.transfermarkt.technology/portrait/medium/834764-1696188716.jpg?lm=1,-1.0,MC,Centrocampista,20.0,8.0,20000000.0,12.433.000,España,DOWN,"5,5",83.0,2,14.0,1117.0,3.0,1.0,1.0,0.0,14.0,23.0,8.0,91.0,185.0,0.0,17.0,0.0,0.0,0.0,2.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. Camavinga,izquierdo,Real Madrid,https://img.a.transfermarkt.technology/portrait/medium/640428-1668500874.jpg?lm=1,-1.0,MC,Centrocampista,21.0,12.0,90000000.0,12.304.000,Francia,DOWN,"4,8",62.0,6,13.0,751.0,0.0,0.0,0.0,3.0,8.0,15.0,1.0,77.0,88.0,0.0,6.0,0.0,0.0,0.0,3.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Lino,derecho,Atlético Madrid,https://img.a.transfermarkt.technology/portrait/medium/694928-1695982815.jpg?lm=1,-1.0,EI,Delantero,23.0,12.0,20000000.0,12.281.000,Brasil,UP,"7,2",65.0,-,11.0,473.0,2.0,2.0,4.0,2.0,6.0,9.0,6.0,32.0,70.0,0.0,2.0,0.0,0.0,0.0,1.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
O. Sancet,derecho,Athletic,https://img.a.transfermarkt.technology/portrait/medium/571020-1671998697.png?lm=1,-1.0,MCO,Centrocampista,23.0,8.0,30000000.0,12.119.000,España,UP,"5,2",62.0,8,13.0,885.0,3.0,3.0,2.0,2.0,0.0,14.0,8.0,52.0,144.0,0.0,7.0,1.0,0.0,0.0,0.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Zaragoza,derecho,Granada CF,https://img.a.transfermarkt.technology/portrait/medium/713644-1697044926.jpg?lm=1,-1.0,EI,Delantero,22.0,26.0,8000000.0,11.865.000,España,DOWN,"6,6",86.0,2,13.0,937.0,5.0,2.0,2.0,16.0,0.0,33.0,16.0,40.0,185.0,0.0,26.0,0.0,0.0,0.0,5.0,-,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. Palazon,izquierdo,Rayo Vallecano,https://img.a.transfermarkt.technology/portrait/medium/362086-1603095588.jpg?lm=1,-1.0,ED,Delantero,28.0,7.0,12000000.0,11.846.000,España,UP,"5,0",70.0,4,14.0,1078.0,2.0,1.0,1.0,15.0,19.0,12.0,16.0,74.0,215.0,0.0,13.0,0.0,0.0,0.0,2.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Darder,derecho,RCD Mallorca,https://img.a.transfermarkt.technology/portrait/medium/142021-1664975574.jpg?lm=1,-1.0,MC,Centrocampista,29.0,10.0,16000000.0,11.774.000,España,UP,"4,3",52.0,4,13.0,856.0,0.0,3.0,5.0,23.0,3.0,12.0,1.0,59.0,149.0,0.0,15.0,0.0,0.0,0.0,1.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. Stegen,derecho,FC Barcelona,https://img.a.transfermarkt.technology/portrait/medium/74857-1674465246.jpg?lm=1,-1.0,POR,Portero,31.0,1.0,35000000.0,11.734.000,Alemania,DOWN,"5,5",71.0,10,13.0,1170.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,80.0,35.0,0.0,13.0,0.0,32.0,0.0,1.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
F. Lejeune,derecho,Rayo Vallecano,https://img.a.transfermarkt.technology/portrait/medium/127108-1496825998.jpg?lm=1,-1.0,CEN,Defensa,32.0,24.0,4000000.0,11.663.000,Francia,UP,"4,6",65.0,6,14.0,1258.0,0.0,1.0,0.0,0.0,59.0,1.0,8.0,89.0,147.0,0.0,18.0,0.0,0.0,0.0,4.0,-,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Baena,derecho,Villarreal CF,https://img.a.transfermarkt.technology/portrait/medium/548111-1604047325.jpg?lm=1,-1.0,MCO,Centrocampista,22.0,16.0,20000000.0,11.565.000,España,UP,"4,4",53.0,3,12.0,887.0,1.0,5.0,6.0,22.0,1.0,5.0,10.0,52.0,167.0,0.0,20.0,1.0,0.0,0.0,4.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
